"Error: cannot find order in session","Errore: comando non trovato nella sessione"
"Error getting payment information from session","Errore: impossibile trovare informazioni di pagamento nella sessione"
"Error: no payment URL found in session","Errore: nessun URL di pagamento nella sessione"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Si è verificato un errore al momento della convalida del pagamento. Si prega di riprovare più tardi o di contattarci qualora il problema dovesse persistere."
"Cannot get payment information from order %s","Impossibile recuperare le informazioni di pagamento dell’ordine %s"
"First instalment captured successfully","Prima rata prelevata con successo"
"You notified customer about invoice %1","La fattura %1 è stata notificata al cliente"
"API key","Chiave API"
"API key is required","Chiave API richiesta"
"Error checking %s - other configuration has been saved","Errore nella verifica della %s - gli altri parametri sono stati salvati"
"Test API key","Chiave API Test"
"Live API key","Chiave API Live"
"-- Please Select a Type --","-- Selezionare un tipo --"
"Live","Live"
"Test","Test"
"(Maximum amount: %s)","(Somma massima: %s)"
"(Minimum amount: %s)","(Somma minima: %s)"
"An error occurred during payment processing:","Si è verificato un errore al momento dell’elaborazione del Suo pagamento: "
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Pagamento Alma creato. Cliente reindirizzato ad Alma, in attesa del rimborso del pagamento."
"Alma monthly payments","Alma - Pagamento a rate"
"Title","Titolo"
"Description","Descrizione"
"Enabled","Attivato"
"Sort Order","Posizione"
"Debug","Debug"
"Enable logging info and errors to help debug any issue with the module.","Attiva il log errori e informazioni utile al debug di problemi con il modulo."
"Excluded product types","Tipi di prodotti esclusi"
"Excluded products message","Messaggio di esclusione dei prodotti"
"List/explain which products aren't eligible to monthly payments","Elencare/descrivere quali prodotti non sono idonei al pagamento rateale"
"API configuration","Configurazione dell'API"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Troverai le tue chiavi API sulla <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">dashboard Alma</a>"
"API mode","Modalità dell'API"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Utilizza la modalità Test fino a quando non sarai pronto ad accettare ordini con Alma."
"Payment method configuration","Configurazione del metodo di pagamento"
"This controls the payment method name which the user sees during checkout.","Configura il nome del metodo di pagamento visibile sulla pagina di checkout"
"This controls the payment method description which the user sees during checkout.","Configura la descrizione del metodo di pagamento visibile sulla pagina di checkout"
"Cart display","Configurazione della visualizzazione a display del carrello"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Un messaggio che indica l’idoneità dell’ordine al pagamento rateale può essere visualizzato a display nel carrello e sul minicart"
"Display cart eligibility message","Mostrare a display il messaggio d'idoneità"
"Eligibility message","Messaggio d'idoneità"
"Non-eligibility message","Messaggio di mancata idoneità"
"Virtual and downloadable products aren't eligible","I prodotti virtuali/scaricabili non sono idonei"
"Yes","Sì"
"No","No"
"Alma monthly and deferred payments","Pagamenti a rate o differiti"
"Pay in deferred or multiple monthly payments with your credit card.","Paga con pagamenti differiti o in più rate mensili con la tua carta di credito."
"Eligible for monthly payments","Acquisto idoneo al pagamento a rate"
"Not eligible for monthly payments","Acquisto non idoneo al pagamento a rate"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","Il tuo ordine è stato elaborato con successo, ma un errore impedisce il ristabilimento della tua sessione utente. Troverai il tuo ordine nel tuo account."
"Customer Return URL","URL di reso cliente"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Expert</b>. Sovraccarico del valore <code>return_url</code> dei pagamenti creati"
"IPN Callback URL","URL di chiamata dell’IPN"
