"Error: cannot find order in session","Error: no se ha encontrado el pedido en la sesión"
"Error getting payment information from session","Error: no se han encontrado los datos de pago en la sesión"
"Error: no payment URL found in session","Error: no hay URL de pago en la sesión"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Se ha producido un error durante la validación de tu pago. Vuelve a intentarlo o ponte en contacto con nosotros si el problema persiste."
"Cannot get payment information from order %s","No se han podido recuperar los datos de pago del pedido %s"
"First instalment captured successfully","Primera cuota cargada correctamente"
"You notified customer about invoice %1","Al cliente se le ha notificado la factura %1"
"API key","Clave API"
"API key is required","Clave API obligatoria"
"Error checking %s - other configuration has been saved","Error de verificación de la %s - las demás configuraciones se han guardado"
"Test API key","Clave API de Prueba"
"Live API key","Clave API en Producción"
"-- Please Select a Type --","-- Selecciona un tipo --"
"Live","Producción"
"Test","Prueba"
"(Maximum amount: %s)","(Importe máximo: %s)"
"(Minimum amount: %s)","(Importe mínimo: %s)"
"An error occurred during payment processing:","Se ha producido un error al procesar tu pago: "
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Pago Alma creado. Cliente redirigido a Alma, pendiente de la confirmación del pago."
"Alma Monthly Payments","Pagos mensuales de Alma"
"Title","Título"
"Description","Descripción"
"Enabled","Activado"
"Sort Order","Posición"
"Debug","Eliminar bug"
"Enable logging info and errors to help debug any issue with the module.","Activa el registro de errores e información útil para depurar los problemas con el módulo."
"Excluded product types","Tipos de productos excluidos"
"Excluded products message","Mensaje de exclusión de productos"
"List/explain which products aren't eligible to monthly payments","Enumera/explica qué productos no se pueden pagar a plazos"
"API configuration","Configuración de la API"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Encontrarás tus claves API en <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">tu panel de control Alma</a>"
"API mode","Modo API"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Utiliza el modo de Prueba hasta que estés preparado para aceptar pedidos con Alma."
"Payment method configuration","Configuración del método de pago"
"This controls the payment method name which the user sees during checkout.","Configura el nombre del método de pago visible en la página de checkout"
"This controls the payment method description which the user sees during checkout.","Configura la descripción del método de pago visible en la página de checkout"
"Cart display","Configuración del display en el carrito/cesta "
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","En la cesta y el carrito se puede mostrar un mensaje que indique la posibilidad de fraccionar el pago del pedido"
"Display cart eligibility message","Mostrar el mensaje de posibilidad de fraccionar el pago"
"Eligibility message","Mensaje de posibilidad de fraccionar el pago"
"Non-eligibility message","Mensaje de imposibilidad de fraccionar el pago"
"Virtual and downloadable products aren't eligible","Los productos virtuales/descargables no se pueden pagar en cuotas"
"Yes","Sí"
"No","No"
"Monthly Payments with Alma","Pagos mensuales con Alma"
"Pay in 3 monthly payments with your credit card.","Paga en 3 mensualidades con tu tarjeta de crédito."
"Eligible for monthly payments","Compra que admite el pago a plazos"
"Not eligible for monthly payments","Compra que no admite el pago a plazos"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","Tu pedido se ha procesado correctamente, pero un error impide que se restablezca tu sesión de usuario. Encontrarás tu pedido en tu cuenta."
"Customer Return URL","URL de devolución del cliente"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Experto</b>. Sobrecarga del valor <code>return_url</code> de los pagos creados"
"IPN Callback URL","URL de llamada de la IPN"
"<b>Advanced.</b> Overrides the <code>ipn_callback_url</code> value of created payments","<b>Experto</b>. Sobrecarga del valor <code>ipn_callback_url</code> de los pagos creados"
"Customer Cancel URL","URL de cancelación del cliente"
"<b>Advanced.</b> Overrides the <code>customer_cancel_url</code> value of created payments","<b>Experto</b>. Sobrecarga del valor <code>customer_cancel_url</code> de los pagos creados"
"<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Offer installments payments with Alma and instantly boost your sales.<br>Increase average order value by 60% and your sales by 20%.<br>With no subscription fees and no commitment, it’s risk free: you are paid upfront while your customers pay later.</div>","<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Ofrece el pago fácil en 3 ó 4 plazos con Alma.<br>Aumenta tus ventas en un 20 % y tu ticket medio en un 60 %.<br>Sin suscripciones, sin compromiso y sin riesgo: tus clientes pagan más tarde y tú cobras al instante.</div>"
